S_schenckii_Gene	S_brasiliensis_Ortholog	Category	S_schenckii_Product	S_brasiliensis_Product
gene-SPSK_00188	SPBR_00188	Conserved	uncharacterized protein	uncharacterized protein
gene-SPSK_01003	SPBR_01003	Conserved	isoleucyl-tRNA synthetase	acetyltransferase%2C CysE/LacA/LpxA/NodL family
gene-SPSK_01061	SPBR_01061	Conserved	amidase	uncharacterized protein
gene-SPSK_01150	SPBR_01150	Conserved	uncharacterized protein	uncharacterized protein
gene-SPSK_01174	SPBR_01174	Conserved	uncharacterized protein	myosin heavy chain
gene-SPSK_01185	SPBR_01185	Conserved	uncharacterized protein	RhoGEF group protein
gene-SPSK_02129	SPBR_02129	Conserved	copii vesicle coat protein	uncharacterized protein
gene-SPSK_02136	SPBR_02136	Conserved	cytokinesis protein	uncharacterized protein
gene-SPSK_02145	SPBR_02145	Conserved	hypercellular protein	uncharacterized protein
gene-SPSK_02162	SPBR_02162	Conserved	ATP-dependent RNA helicase DHX37/DHR1	uncharacterized protein
gene-SPSK_02184	SPBR_02184	Conserved	uncharacterized protein	sister chromatid cohesion protein PDS5
gene-SPSK_02193	SPBR_02193	Conserved	uncharacterized protein	cullin-binding protein
gene-SPSK_02200	SPBR_02200	Conserved	sam and ph domain containing protein	uncharacterized protein
gene-SPSK_02216	SPBR_02216	Conserved	para-aminobenzoate synthetase	uncharacterized protein
gene-SPSK_02237	SPBR_02237	Conserved	uncharacterized protein	uncharacterized protein
gene-SPSK_02243	SPBR_02243	Conserved	mitochondrial intermediate peptidase	regulatory protein
gene-SPSK_02249	SPBR_02249	Conserved	uncharacterized protein	ubiquitin-activating enzyme E1
gene-SPSK_02294	SPBR_02294	Conserved	uncharacterized protein	uncharacterized protein
gene-SPSK_02349	SPBR_02349	Conserved	uncharacterized protein	protein phosphatase 2 (formerly 2A)%2C regulatory subunit A
gene-SPSK_02379	SPBR_02379	Conserved	WASP-interacting protein-like protein vrp1p	uncharacterized protein
gene-SPSK_02396	SPBR_02396	Conserved	uncharacterized protein	uncharacterized protein
gene-SPSK_02411	SPBR_02411	Conserved	uncharacterized protein	uncharacterized protein
gene-SPSK_02422	SPBR_02422	Conserved	amid-like NADH oxidoreductase	NADH dehydrogenase
gene-SPSK_02429	SPBR_02429	Conserved	inosine-uridine preferring nucleoside hydrolase	uncharacterized protein
gene-SPSK_02444	SPBR_02444	Conserved	formate dehydrogenase	potassium ion channel
gene-SPSK_02453	SPBR_02453	Conserved	uncharacterized protein	solute carrier family 9 (sodium/hydrogen exchanger)%2C member 6/7
gene-SPSK_02481	SPBR_02481	Conserved	cytochrome c mitochondrial import factor	aar2 domain containing protein
gene-SPSK_02505	SPBR_02505	Conserved	uncharacterized protein	uncharacterized protein
gene-SPSK_02517	SPBR_02517	Conserved	uncharacterized protein	uncharacterized protein
gene-SPSK_02527	SPBR_02527	Conserved	HUS1 checkpoint protein	FAD synthetase
gene-SPSK_02535	SPBR_02535	Conserved	uncharacterized protein	uncharacterized protein
gene-SPSK_02546	SPBR_02546	Conserved	uncharacterized protein	adenylosuccinate lyase
gene-SPSK_02548	SPBR_02548	Conserved	uncharacterized protein	uncharacterized protein
gene-SPSK_02568	SPBR_02568	Conserved	2%2C4-dihydroxyhept-2-ene-1%2C7-dioic acid aldolase	uncharacterized protein
gene-SPSK_02606	SPBR_02606	Conserved_Virulence_SUPEROXIDE	superoxide dismutase%2C Fe-Mn family	uncharacterized protein
gene-SPSK_02616	SPBR_02616	Conserved	mediator of RNA polymerase II transcription subunit 6	uncharacterized protein
gene-SPSK_02649	SPBR_02649	Conserved	uncharacterized protein	uncharacterized protein
gene-SPSK_02677	SPBR_02677	Conserved	20S proteasome subunit alpha 6	tRNA (adenine-N1-)-methyltransferase catalytic subunit
gene-SPSK_02703	SPBR_02703	Conserved	uncharacterized protein	phospholipase d/transphosphatidylase
gene-SPSK_02728	SPBR_02728	Conserved_Virulence_SECRETORY	secretory component protein shr3	nucleoporin nup49
gene-SPSK_02730	SPBR_02730	Conserved	uncharacterized protein	elongator complex protein 4
gene-SPSK_02732	SPBR_02732	Conserved	uncharacterized protein	uncharacterized protein
gene-SPSK_02740	SPBR_02740	Conserved	uncharacterized protein	uncharacterized protein
gene-SPSK_02775	SPBR_02775	Conserved	proteasome assembly chaperone 3	alcohol dehydrogenase
gene-SPSK_02798	SPBR_02798	Conserved	uncharacterized protein	uncharacterized protein
gene-SPSK_02812	SPBR_02812	Conserved	uncharacterized protein	methylitaconate delta2-delta3-isomerase
gene-SPSK_02819	SPBR_02819	Conserved	U6 snRNA-associated Sm-like protein LSm8	uncharacterized protein
gene-SPSK_02825	SPBR_02825	Conserved	uncharacterized protein	quinic acid utilization activator
gene-SPSK_02830	SPBR_02830	Conserved	uncharacterized protein	uncharacterized protein
gene-SPSK_02850	SPBR_02850	Conserved	uncharacterized protein	uncharacterized protein
gene-SPSK_02870	SPBR_02870	Conserved	uncharacterized protein	ribonucleases P/MRP protein subunit RPP40
gene-SPSK_02879	SPBR_02879	Conserved	uncharacterized protein	uncharacterized protein
gene-SPSK_02885	SPBR_02885	Conserved	uncharacterized protein	uncharacterized protein
gene-SPSK_02890	SPBR_02890	Conserved	uncharacterized protein	uncharacterized protein
gene-SPSK_03673	SPBR_03673	Conserved	uncharacterized protein	deacetylase complex subunit
gene-SPSK_03761	SPBR_03761	Conserved	uncharacterized protein	uncharacterized protein
gene-SPSK_03911	SPBR_03911	Conserved	uncharacterized protein	protein-serine/threonineeeee kinase
gene-SPSK_04071	SPBR_04071	Conserved	uncharacterized protein	zn cluster transcription factor
gene-SPSK_04136	SPBR_04136	Conserved	uncharacterized protein	urea active transporter
gene-SPSK_04255	SPBR_04255	Conserved	GPI anchored protein	uncharacterized protein
gene-SPSK_04363	SPBR_04363	Conserved	amidohydrolase family protein	uncharacterized protein
gene-SPSK_04482	SPBR_04482	Conserved	uncharacterized protein	uncharacterized protein
gene-SPSK_04489	SPBR_04489	Conserved	uncharacterized protein	uncharacterized protein
gene-SPSK_04516	SPBR_04516	Conserved	uncharacterized protein	uncharacterized protein
gene-SPSK_04622	SPBR_04622	Conserved	uncharacterized protein	transcription factor btf3
gene-SPSK_04629	SPBR_04629	Conserved	transcription factor	uncharacterized protein
gene-SPSK_04694	SPBR_04694	Conserved	uncharacterized protein	uncharacterized protein
gene-SPSK_04742	SPBR_04742	Conserved	uncharacterized protein	uncharacterized protein
gene-SPSK_05228	SPBR_05228	Conserved	uncharacterized protein	uncharacterized protein
gene-SPSK_06739	SPBR_06739	Conserved	uncharacterized protein	uncharacterized protein
gene-SPSK_06797	SPBR_06797	Conserved	uncharacterized protein	ribosome biogenesis protein ENP2
gene-SPSK_08318	SPBR_08318	Conserved	wd-repeat protein	phosphoglucomutase
